################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4291271854689061E-01 a         1     0     1     1     1
  3.1142652380505273E-02 a         2     0     1     1     2
  1.6730657575260094E-01 a         3     0     1     1     3
  9.9621450628642291E-02 a         4     0     1     1     4
  5.2547391099907004E-01 a         5     0     1     1     5
 -3.5254197701741402E-02 a         6     0     1     1     6
 -3.7909718350225363E-01 a         7     0     1     1     7
 -5.9797641377208360E-02 a         8     0     1     1     8
  8.4562353444890992E-02 a         9     0     1     1     9
  1.8578514151192904E-01 a        10     0     1     1    10
 -2.7422814400987405E-01 a        11     0     1     1    11
  5.7398019312604763E-02 a        12     0     1     1    12
  2.3284146799995159E-01 a        13     0     1     1    13
  1.7533521646927616E-01 a        14     0     1     1    14
 -5.2525277160151052E-01 a        15     0     1     1    15
 -1.1368767806191905E-01 a        16     0     1     1    16
 -4.7038899514074424E-02 a        17     0     1     1    17
  1.2879537668213661E-01 a        18     0     1     1    18
  1.7508303629766295E-01 a        19     0     1     1    19
  1.5910665232500965E-01 a        20     0     1     1    20
  1.4451743295885441E-01 a        21     0     1     1    21
 -3.8342843481266803E-01 a        22     0     1     1    22
 -1.1819527833990184E-01 a        23     0     1     1    23
 -4.0705385830438728E-02 a        24     0     1     1    24
 -4.2912519743901284E-01 a        25     0     1     1    25
  4.6076114533170859E-01 a        26     0     2     1     1
  4.8091459651094687E-01 a        27     0     2     1     2
 -1.5721487607492438E-01 a        28     0     2     1     3
 -6.5663237099556293E-01 a        29     0     2     1     4
 -3.1526379217853240E-01 a        30     0     2     1     5
  2.1940544292310701E-01 a        31     0     2     1     6
 -3.2463383244395899E-01 a        32     0     2     1     7
  1.3042797917465573E-01 a        33     0     2     1     8
 -4.5721385905337850E-02 a        34     0     2     1     9
  4.9166092299884084E-02 a        35     0     2     1    10
 -3.6073261118757732E-01 a        36     0     2     1    11
  1.5568770535834198E-01 a        37     0     2     1    12
 -3.7092593448280375E-01 a        38     0     2     1    13
 -2.1695875822941846E-01 a        39     0     2     1    14
 -4.1344152808090694E-02 a        40     0     2     1    15
 -5.2651990038073548E-01 a        41     0     2     1    16
 -4.5109555037644083E-01 a        42     0     2     1    17
 -3.5109964822568795E-01 a        43     0     2     1    18
 -2.7303408051923622E-01 a        44     0     2     1    19
 -5.3269798578056371E-01 a        45     0     2     1    20
 -4.6891384839191924E-01 a        46     0     2     1    21
  3.1939835846501363E-01 a        47     0     2     1    22
  2.3657671243408568E-01 a        48     0     2     1    23
  7.0222192035349940E-01 a        49     0     2     1    24
 -4.3528827269684622E-01 a        50     0     2     1    25
 -7.6128058804199233E-02 a        51     0     3     1     1
  6.4969378803136107E-02 a        52     0     3     1     2
  7.5772752280775790E-02 a        53     0     3     1     3
  1.2882981238990032E-01 a        54     0     3     1     4
 -1.7602386678206400E-01 a        55     0     3     1     5
 -9.3933415019182703E-02 a        56     0     3     1     6
  1.4510467461448914E-01 a        57     0     3     1     7
 -1.1400981641143046E-01 a        58     0     3     1     8
  1.6491076890982531E-01 a        59     0     3     1     9
 -2.7459841303225596E-01 a        60     0     3     1    10
  1.7414421920712972E-01 a        61     0     3     1    11
 -7.8354877134185319E-02 a        62     0     3     1    12
 -2.5387418093351782E-01 a        63     0     3     1    13
 -6.3858002839749753E-02 a        64     0     3     1    14
  1.2252161270791359E-01 a        65     0     3     1    15
 -4.5717228121127447E-02 a        66     0     3     1    16
 -6.3252308555128062E-02 a        67     0     3     1    17
 -8.2594545364234259E-03 a        68     0     3     1    18
  2.1210188598204333E-01 a        69     0     3     1    19
