################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.4694150873905018E-02 a         1     0     1     1     1
  7.4793712564529866E-02 a         2     0     1     1     2
 -4.4539509389190463E-02 a         3     0     1     1     3
 -1.7873395268915418E-01 a         4     0     1     1     4
  3.5544411339028222E-03 a         5     0     1     1     5
 -1.6645072826309257E-02 a         6     0     1     1     6
 -1.3400907417213137E-01 a         7     0     1     1     7
  6.3594754032550632E-02 a         8     0     1     1     8
 -1.0719432727850120E-01 a         9     0     1     1     9
 -1.9081515905158438E-02 a        10     0     1     1    10
  9.2265838317982407E-02 a        11     0     1     1    11
  1.6392874988987735E-01 a        12     0     1     1    12
 -1.9191074622374765E-01 a        13     0     1     1    13
  2.1751138096992728E-01 a        14     0     1     1    14
  9.6588972901963069E-02 a        15     0     1     1    15
 -8.5018676722428757E-02 a        16     0     1     1    16
  7.6724336070143367E-02 a        17     0     1     1    17
 -3.1428881161784702E-02 a        18     0     1     1    18
 -3.6676436759326895E-03 a        19     0     1     1    19
  5.8910035255054879E-02 a        20     0     1     1    20
  1.2162847653287845E-01 a        21     0     1     1    21
  1.0638149777253891E-01 a        22     0     1     1    22
  7.3359703485849137E-02 a        23     0     1     1    23
  2.7282749513440413E-01 a        24     0     1     1    24
  5.5542866484599641E-02 a        25     0     1     1    25
 -1.1023906913709572E-01 a        26     0     2     1     1
  3.6836501168483700E-02 a        27     0     2     1     2
 -9.8151437956953774E-02 a        28     0     2     1     3
 -7.2013742435109981E-02 a        29     0     2     1     4
  2.0008493627572352E-01 a        30     0     2     1     5
  1.5712637027247953E-01 a        31     0     2     1     6
  2.6887312408183327E-02 a        32     0     2     1     7
