################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.2363143536837386E-02 a         1     0     1     1     1
  9.9374924098758102E-02 a         2     0     1     1     2
  2.2144535355503145E-01 a         3     0     1     1     3
  3.0845787658294621E-01 a         4     0     1     1     4
  1.5629169067017884E-01 a         5     0     1     1     5
 -2.5604440194604239E-01 a         6     0     1     1     6
  2.8032524622968239E-02 a         7     0     1     1     7
 -6.9136565907123165E-02 a         8     0     1     1     8
 -2.0449095492345593E-01 a         9     0     1     1     9
  4.1495765812040092E-01 a        10     0     1     1    10
 -9.3865814138890755E-03 a        11     0     1     1    11
  8.6891621133351304E-02 a        12     0     1     1    12
 -1.9479190141605218E-01 a        13     0     1     1    13
  2.1608380210787306E-01 a        14     0     1     1    14
 -3.7893050132230655E-02 a        15     0     1     1    15
 -9.3992536459661380E-02 a        16     0     1     1    16
 -2.1935781081783218E-01 a        17     0     1     1    17
 -1.7063575854799215E-01 a        18     0     1     1    18
  6.3187008595619168E-02 a        19     0     1     1    19
 -2.8798839075693004E-02 a        20     0     1     1    20
 -9.6563620645581535E-02 a        21     0     1     1    21
 -1.3828292358550098E-01 a        22     0     1     1    22
  1.2806524022379009E-01 a        23     0     1     1    23
 -2.0211338017874758E-01 a        24     0     1     1    24
 -2.1474502167170118E-02 a        25     0     1     1    25
  6.2874451322935801E-02 a        26     0     2     1     1
  1.3653229331093497E-01 a        27     0     2     1     2
  5.2882071798336129E-02 a        28     0     2     1     3
 -2.5616196213231160E-03 a        29     0     2     1     4
 -3.0308380749496090E-02 a        30     0     2     1     5
  8.4485625249838634E-03 a        31     0     2     1     6
  8.5489502885776336E-02 a        32     0     2     1     7
 -1.6593358305416556E-01 a        33     0     2     1     8
  2.8214932644206592E-01 a        34     0     2     1     9
  5.4786504203496456E-02 a        35     0     2     1    10
 -1.9866547096181555E-01 a        36     0     2     1    11
  1.0192365117670726E-01 a        37     0     2     1    12
  5.5028300666467772E-02 a        38     0     2     1    13
 -1.9110554262842225E-01 a        39     0     2     1    14
 -1.4197396000157247E-02 a        40     0     2     1    15
