################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.5481880095411986E-02 a         1     0     1     1     1
 -1.4297711879724062E-01 a         2     0     1     1     2
 -1.7553964129625035E-01 a         3     0     1     1     3
 -7.9256302787713298E-02 a         4     0     1     1     4
 -8.1781015006277588E-02 a         5     0     1     1     5
 -2.5220659740295243E-01 a         6     0     1     1     6
  1.2009495786301029E-01 a         7     0     1     1     7
  3.8665920780102628E-02 a         8     0     1     1     8
 -6.0063867382525483E-02 a         9     0     1     1     9
 -2.3198370981659531E-02 a        10     0     1     1    10
 -1.2738895146158677E-01 a        11     0     1     1    11
 -5.6826920724869084E-02 a        12     0     1     1    12
  6.7265368148941573E-02 a        13     0     1     1    13
 -1.6411591263004295E-02 a        14     0     1     1    14
 -9.1746379587930124E-02 a        15     0     1     1    15
  8.3350947261802158E-02 a        16     0     1     1    16
 -1.0868322367773571E-01 a        17     0     1     1    17
 -2.9373386522449779E-02 a        18     0     1     1    18
 -3.7484984310117007E-02 a        19     0     1     1    19
  1.7693682774475905E-01 a        20     0     1     1    20
 -2.0763303816019259E-02 a        21     0     1     1    21
 -1.9892269771897283E-02 a        22     0     1     1    22
  1.0596974850229191E-01 a        23     0     1     1    23
 -1.3927449888187055E-01 a        24     0     1     1    24
 -2.7922391643767645E-02 a        25     0     1     1    25
 -5.4046803233078117E-02 a        26     0     2     1     1
  7.2152680535261166E-02 a        27     0     2     1     2
  7.1723619397084507E-02 a        28     0     2     1     3
 -2.1767340171188226E-01 a        29     0     2     1     4
  8.1643177728678462E-02 a        30     0     2     1     5
 -6.4215519922439401E-02 a        31     0     2     1     6
  2.2666242492910244E-02 a        32     0     2     1     7
  8.3191036779088734E-02 a        33     0     2     1     8
 -4.6184323857004918E-02 a        34     0     2     1     9
 -9.2255808874659395E-02 a        35     0     2     1    10
 -9.7450984235124535E-02 a        36     0     2     1    11
 -3.8972619847416602E-02 a        37     0     2     1    12
  1.7448447326950162E-01 a        38     0     2     1    13
  9.8202533240888484E-02 a        39     0     2     1    14
 -1.3609286490023051E-01 a        40     0     2     1    15
 -2.5118396284847772E-02 a        41     0     2     1    16
  5.7793556735621462E-02 a        42     0     2     1    17
 -8.9530848756742915E-02 a        43     0     2     1    18
 -3.1979017584310671E-01 a        44     0     2     1    19
 -8.1685907127472049E-02 a        45     0     2     1    20
  1.3870069942247448E-01 a        46     0     2     1    21
 -6.9381403030775085E-02 a        47     0     2     1    22
 -1.6461701311515774E-02 a        48     0     2     1    23
  7.1238802985534783E-02 a        49     0     2     1    24
 -4.1419608832460375E-02 a        50     0     2     1    25
 -8.1221226859956558E-02 a        51     0     3     1     1
 -4.5474251729230204E-02 a        52     0     3     1     2
  2.8129609455995991E-02 a        53     0     3     1     3
  2.2542762887430939E-01 a        54     0     3     1     4
 -2.3974374553936667E-01 a        55     0     3     1     5
  6.3064391837172801E-02 a        56     0     3     1     6
  1.6984378046604601E-01 a        57     0     3     1     7
 -2.2090354651118296E-01 a        58     0     3     1     8
  3.2283382175708236E-01 a        59     0     3     1     9
 -2.0885133349854701E-02 a        60     0     3     1    10
  1.0118579453078377E-01 a        61     0     3     1    11
  1.8037186594357829E-01 a        62     0     3     1    12
  2.6783912238215978E-02 a        63     0     3     1    13
  1.3451189645127781E-01 a        64     0     3     1    14
  2.3071487221495066E-01 a        65     0     3     1    15
 -7.4969842661424618E-02 a        66     0     3     1    16
 -2.5250570260698740E-01 a        67     0     3     1    17
 -1.3444529225652804E-01 a        68     0     3     1    18
 -7.1062170648381787E-02 a        69     0     3     1    19
  2.5694249327987218E-01 a        70     0     3     1    20
  4.4053998337527725E-02 a        71     0     3     1    21
  1.6044133107834818E-01 a        72     0     3     1    22
 -9.7531979211511161E-02 a        73     0     3     1    23
 -1.9517017218368047E-02 a        74     0     3     1    24
  9.2903121221099672E-02 a        75     0     3     1    25
  3.1283686457652400E-02 a        76     0     4     1     1
  2.1071710006243610E-01 a        77     0     4     1     2
 -5.0552293422824038E-02 a        78     0     4     1     3
 -1.6427567730099854E-01 a        79     0     4     1     4
  1.9373118258986097E-01 a        80     0     4     1     5
  1.7095559644673644E-01 a        81     0     4     1     6
  2.0503715404967890E-01 a        82     0     4     1     7
 -1.3339929903850881E-01 a        83     0     4     1     8
 -1.4459993055635548E-01 a        84     0     4     1     9
 -4.5404101239491262E-02 a        85     0     4     1    10
  1.6450654933002176E-01 a        86     0     4     1    11
  7.0305496310529333E-02 a        87     0     4     1    12
 -1.0260781341225372E-01 a        88     0     4     1    13
  6.6491274378993770E-02 a        89     0     4     1    14
 -5.6016534559619649E-02 a        90     0     4     1    15
  1.3254359331719656E-04 a        91     0     4     1    16
  4.4066811534494606E-02 a        92     0     4     1    17
  1.1449495853953350E-01 a        93     0     4     1    18
 -1.2299386845948543E-01 a        94     0     4     1    19
 -1.7797176388930350E-01 a        95     0     4     1    20
 -1.8043608059113997E-01 a        96     0     4     1    21
  1.2471514358038930E-02 a        97     0     4     1    22
 -7.3580056303473307E-03 a        98     0     4     1    23
  1.8697445287240816E-01 a        99     0     4     1    24
  1.7934261419519271E-01 a       100     0     4     1    25
 -1.2145556162400352E-01 a       101     0     5     1     1
  2.2224896966941401E-01 a       102     0     5     1     2
  1.9138163364494401E-01 a       103     0     5     1     3
  1.2363767210538586E-01 a       104     0     5     1     4
 -1.0660149433912253E-01 a       105     0     5     1     5
  2.9867017129294373E-02 a       106     0     5     1     6
  1.5131873889182421E-01 a       107     0     5     1     7
  4.9083616075523979E-02 a       108     0     5     1     8
  1.1661486084533230E-01 a       109     0     5     1     9
 -1.0065009488509225E-01 a       110     0     5     1    10
  2.9808255421647606E-01 a       111     0     5     1    11
 -1.4290511480276252E-01 a       112     0     5     1    12
  7.3609019361883424E-02 a       113     0     5     1    13
  2.6342398637561415E-01 a       114     0     5     1    14
 -1.1666948868870654E-01 a       115     0     5     1    15
 -2.5582347656720374E-02 a       116     0     5     1    16
  8.9321807077525614E-02 a       117     0     5     1    17
 -9.6543878247137990E-02 a       118     0     5     1    18
  2.6521339982122094E-01 a       119     0     5     1    19
 -1.7829527702635659E-01 a       120     0     5     1    20
  6.7011565556540947E-02 a       121     0     5     1    21
  1.0992860030245186E-01 a       122     0     5     1    22
 -2.2548378842122072E-01 a       123     0     5     1    23
  1.3237675114039829E-02 a       124     0     5     1    24
 -1.0833552221195068E-01 a       125     0     5     1    25
  2.1633110670942937E-01 a       126     0     6     1     1
 -1.4074717056767161E-01 a       127     0     6     1     2
 -1.1675157436963620E-02 a       128     0     6     1     3
  2.2397544629157742E-01 a       129     0     6     1     4
 -1.1882123753618888E-01 a       130     0     6     1     5
 -1.0904422175529373E-01 a       131     0     6     1     6
  1.8263825885850177E-01 a       132     0     6     1     7
 -3.7821551115786563E-02 a       133     0     6     1     8
 -1.8843479443672856E-01 a       134     0     6     1     9
  3.0595545299970429E-02 a       135     0     6     1    10
  1.4787693803095889E-01 a       136     0     6     1    11
 -2.2307829197488646E-01 a       137     0     6     1    12
 -1.5205966534348953E-01 a       138     0     6     1    13
 -6.1917492557469235E-02 a       139     0     6     1    14
 -6.0454869273978695E-02 a       140     0     6     1    15
 -2.4774201586099726E-01 a       141     0     6     1    16
  1.2367487240705180E-01 a       142     0     6     1    17
 -9.5056260742402629E-02 a       143     0     6     1    18
  2.2993457412048757E-01 a       144     0     6     1    19
 -4.6088038111214105E-02 a       145     0     6     1    20
 -1.5547242372019401E-01 a       146     0     6     1    21
  3.3041122997919142E-02 a       147     0     6     1    22
 -3.8292619701541047E-02 a       148     0     6     1    23
 -6.8852986951368239E-02 a       149     0     6     1    24
  1.4941436952297049E-01 a       150     0     6     1    25
 -1.5795207817453746E-01 a       151     0     7     1     1
  1.8086376559315698E-01 a       152     0     7     1     2
 -4.5616554498697115E-02 a       153     0     7     1     3
  7.8600521468021281E-02 a       154     0     7     1     4
  1.2059362291818718E-01 a       155     0     7     1     5
 -3.1157349538182399E-01 a       156     0     7     1     6
 -1.5824283760315000E-01 a       157     0     7     1     7
  1.4165855093912538E-01 a       158     0     7     1     8
 -9.0309693963607024E-02 a       159     0     7     1     9
 -1.2725143072369841E-01 a       160     0     7     1    10
  1.9013529774749685E-01 a       161     0     7     1    11
 -5.1005659802867753E-02 a       162     0     7     1    12
 -5.9043244549656558E-02 a       163     0     7     1    13
 -1.8753397245079262E-01 a       164     0     7     1    14
 -9.5815880738846046E-02 a       165     0     7     1    15
  9.5693429188565229E-02 a       166     0     7     1    16
  1.9055396064354135E-01 a       167     0     7     1    17
 -2.0488448783993207E-01 a       168     0     7     1    18
 -1.4609842730896648E-02 a       169     0     7     1    19
 -1.8880919539683164E-01 a       170     0     7     1    20
  9.9199858926612747E-02 a       171     0     7     1    21
  1.7052267308618543E-02 a       172     0     7     1    22
  1.2217906096270000E-01 a       173     0     7     1    23
  1.0197935944191966E-01 a       174     0     7     1    24
  1.0425982247591750E-01 a       175     0     7     1    25
  1.1520419938749349E-01 a       176     0     8     1     1
 -1.7377717831937434E-01 a       177     0     8     1     2
 -1.2039877603843042E-02 a       178     0     8     1     3
  2.2837836607365845E-02 a       179     0     8     1     4
  7.4277114641175465E-02 a       180     0     8     1     5
 -3.6408045243655845E-02 a       181     0     8     1     6
  1.3729141342046350E-01 a       182     0     8     1     7
  1.4930671641507476E-01 a       183     0     8     1     8
 -8.7297223776830968E-02 a       184     0     8     1     9
  3.2393874298354192E-02 a       185     0     8     1    10
 -2.4568060479019421E-01 a       186     0     8     1    11
 -1.5159531722782213E-01 a       187     0     8     1    12
  1.7008614128891669E-01 a       188     0     8     1    13
  7.0342192923401006E-02 a       189     0     8     1    14
 -1.7204473122518890E-01 a       190     0     8     1    15
 -2.8301183687060710E-01 a       191     0     8     1    16
  1.6678453266706877E-01 a       192     0     8     1    17
 -2.2122718586846679E-01 a       193     0     8     1    18
 -9.4300406890051522E-02 a       194     0     8     1    19
  7.7282630629680618E-02 a       195     0     8     1    20
  9.1977207004532477E-02 a       196     0     8     1    21
  3.6668309945918777E-02 a       197     0     8     1    22
 -2.1525991273883820E-02 a       198     0     8     1    23
  1.0468242160203046E-01 a       199     0     8     1    24
 -1.4365245627786580E-01 a       200     0     8     1    25
 -1.5281855751420656E-01 a       201     0     9     1     1
 -1.9505375906270939E-01 a       202     0     9     1     2
 -1.9817935155344160E-01 a       203     0     9     1     3
  1.2956957111074596E-02 a       204     0     9     1     4
  1.4987864050471142E-01 a       205     0     9     1     5
 -1.7082430244467614E-01 a       206     0     9     1     6
 -3.5434041732901939E-01 a       207     0     9     1     7
 -9.2438536954298225E-02 a       208     0     9     1     8
  1.6443042283155660E-02 a       209     0     9     1     9
  4.1419446396659308E-02 a       210     0     9     1    10
  1.9807372472550289E-01 a       211     0     9     1    11
  7.0235329597085866E-02 a       212     0     9     1    12
 -1.3096176922009675E-02 a       213     0     9     1    13
 -8.5050234760911739E-02 a       214     0     9     1    14
 -3.7865835885600848E-03 a       215     0     9     1    15
  3.2784910808963076E-03 a       216     0     9     1    16
 -7.7385429567150152E-02 a       217     0     9     1    17
  4.4337760723074986E-02 a       218     0     9     1    18
 -1.4096006023495999E-01 a       219     0     9     1    19
 -1.4293517313666465E-01 a       220     0     9     1    20
  8.8979652937719853E-02 a       221     0     9     1    21
 -1.6261309652173209E-01 a       222     0     9     1    22
  2.2545113543779013E-01 a       223     0     9     1    23
 -9.0907312139672319E-02 a       224     0     9     1    24
 -3.1273846492261538E-02 a       225     0     9     1    25
  1.5082403858749086E-01 a       226     0    10     1     1
 -1.0710588639679980E-01 a       227     0    10     1     2
  1.4684770467907168E-01 a       228     0    10     1     3
 -1.1774902791792365E-01 a       229     0    10     1     4
  1.8256337433459310E-01 a       230     0    10     1     5
  1.9623142174880512E-01 a       231     0    10     1     6
  2.3148010420190035E-01 a       232     0    10     1     7
 -2.0101662066450013E-01 a       233     0    10     1     8
  1.4982468597908807E-01 a       234     0    10     1     9
 -1.1967409649651162E-01 a       235     0    10     1    10
  6.1232443913162793E-02 a       236     0    10     1    11
  1.5046973792236565E-01 a       237     0    10     1    12
  2.2009331623656335E-02 a       238     0    10     1    13
 -6.0472059653735602E-02 a       239     0    10     1    14
 -2.7767005767584559E-02 a       240     0    10     1    15
 -1.9039583454142139E-01 a       241     0    10     1    16
  5.7445133421733623E-02 a       242     0    10     1    17
 -1.0014029203507444E-01 a       243     0    10     1    18
 -2.2419658749056992E-01 a       244     0    10     1    19
  2.6342118666080588E-02 a       245     0    10     1    20
  2.4342689820677655E-02 a       246     0    10     1    21
 -1.7489016249496520E-01 a       247     0    10     1    22
  9.8421235832503964E-02 a       248     0    10     1    23
  6.9248131165765281E-03 a       249     0    10     1    24
 -1.4165531947208695E-01 a       250     0    10     1    25
  1.5258518417727268E-01 a       251     0    11     1     1
  1.0949497066815893E-01 a       252     0    11     1     2
 -8.6566078979360458E-02 a       253     0    11     1     3
 -1.7886942119387711E-01 a       254     0    11     1     4
 -6.6328339919971502E-02 a       255     0    11     1     5
 -3.2465249983106292E-01 a       256     0    11     1     6
  6.1914134321893938E-02 a       257     0    11     1     7
 -1.1110630697443122E-01 a       258     0    11     1     8
 -2.5992627572687282E-01 a       259     0    11     1     9
  7.5632995018837634E-02 a       260     0    11     1    10
 -1.8988134735757903E-01 a       261     0    11     1    11
 -1.2104024435576931E-01 a       262     0    11     1    12
  3.3308227616240110E-02 a       263     0    11     1    13
 -1.3969914774033934E-01 a       264     0    11     1    14
  1.5219007108445831E-01 a       265     0    11     1    15
 -2.2495917003636817E-02 a       266     0    11     1    16
 -1.0063359238444110E-01 a       267     0    11     1    17
  8.9040478958197694E-02 a       268     0    11     1    18
  1.6920818452541173E-01 a       269     0    11     1    19
  9.1679346173489246E-02 a       270     0    11     1    20
 -9.1127331255933045E-02 a       271     0    11     1    21
  2.9474139111640072E-02 a       272     0    11     1    22
 -3.6241028180370886E-02 a       273     0    11     1    23
 -2.4763094366324909E-01 a       274     0    11     1    24
 -1.8941321605691172E-01 a       275     0    11     1    25
 -1.0408922787917876E-02 a       276     0    12     1     1
  6.1589088636335172E-02 a       277     0    12     1     2
  5.9051884714507723E-02 a       278     0    12     1     3
  9.3419573169203643E-02 a       279     0    12     1     4
  1.3708689342643607E-01 a       280     0    12     1     5
 -1.7377850835129396E-02 a       281     0    12     1     6
 -1.4489108134906686E-01 a       282     0    12     1     7
  2.1529633794467642E-01 a       283     0    12     1     8
 -2.1809335966863036E-01 a       284     0    12     1     9
  1.8473819501140429E-03 a       285     0    12     1    10
  2.6093629427877635E-01 a       286     0    12     1    11
  1.8983999106457639E-01 a       287     0    12     1    12
  2.8026829741310119E-03 a       288     0    12     1    13
  1.7467763907591949E-01 a       289     0    12     1    14
  4.7504312556528476E-02 a       290     0    12     1    15
 -1.1146508151373564E-01 a       291     0    12     1    16
 -9.8017003465817702E-03 a       292     0    12     1    17
 -1.7958646065413225E-01 a       293     0    12     1    18
  1.0527268582837467E-01 a       294     0    12     1    19
 -3.3191317040592104E-02 a       295     0    12     1    20
  9.4862150268685844E-02 a       296     0    12     1    21
  1.5513075982057387E-01 a       297     0    12     1    22
 -2.8760577624278749E-01 a       298     0    12     1    23
 -2.5159565341602563E-01 a       299     0    12     1    24
  2.2291847773722431E-01 a       300     0    12     1    25
 -2.9743408551411096E-03 a       301     0    13     1     1
  2.1249113606013578E-01 a       302     0    13     1     2
  6.7384282230044473E-02 a       303     0    13     1     3
 -1.1573520921847780E-01 a       304     0    13     1     4
 -2.0283294137115460E-01 a       305     0    13     1     5
  2.3173278338846007E-01 a       306     0    13     1     6
 -1.0598842944900021E-01 a       307     0    13     1     7
  1.4419004195090174E-01 a       308     0    13     1     8
  8.6300823210345948E-02 a       309     0    13     1     9
 -1.9915238694737103E-01 a       310     0    13     1    10
 -1.7902881712259272E-01 a       311     0    13     1    11
 -1.1559178966269516E-01 a       312     0    13     1    12
  8.6063023820299484E-02 a       313     0    13     1    13
  7.3574616648316035E-02 a       314     0    13     1    14
 -8.5662658679270962E-02 a       315     0    13     1    15
  1.7023638732557508E-01 a       316     0    13     1    16
 -1.1841404122642731E-01 a       317     0    13     1    17
  2.0513738254827357E-01 a       318     0    13     1    18
  1.5228710529999215E-01 a       319     0    13     1    19
  1.1183251628081360E-01 a       320     0    13     1    20
 -1.5580825640892595E-01 a       321     0    13     1    21
 -1.8864377809865646E-01 a       322     0    13     1    22
 -3.2482937499389256E-02 a       323     0    13     1    23
 -2.2118947569634889E-01 a       324     0    13     1    24
 -1.0262695323536161E-01 a       325     0    13     1    25
  1.1056916097527701E-01 a       326     0    14     1     1
  9.3453790903615622E-02 a       327     0    14     1     2
 -6.9880334014792767E-02 a       328     0    14     1     3
 -6.7427752274524591E-02 a       329     0    14     1     4
 -1.3094936805463450E-01 a       330     0    14     1     5
  7.2998589798346156E-02 a       331     0    14     1     6
  2.6903335088783309E-01 a       332     0    14     1     7
  5.4275218601803593E-02 a       333     0    14     1     8
 -2.2282809391756969E-01 a       334     0    14     1     9
 -6.9629522599469265E-02 a       335     0    14     1    10
 -6.9918972385771883E-02 a       336     0    14     1    11
 -1.2062330786524765E-01 a       337     0    14     1    12
  4.0278288881500984E-01 a       338     0    14     1    13
 -1.7798055705482504E-01 a       339     0    14     1    14
 -2.3307288170400545E-01 a       340     0    14     1    15
 -1.3612210858341750E-02 a       341     0    14     1    16
 -3.7700687094439231E-02 a       342     0    14     1    17
  2.5610899883300939E-02 a       343     0    14     1    18
 -3.0055218213307056E-01 a       344     0    14     1    19
 -1.5046189501982962E-01 a       345     0    14     1    20
  1.8131005889044451E-02 a       346     0    14     1    21
 -1.2893851572700826E-01 a       347     0    14     1    22
  2.3678272016211441E-01 a       348     0    14     1    23
  2.5733383547590022E-01 a       349     0    14     1    24
 -4.3276624529539003E-02 a       350     0    14     1    25
  1.1126521375511084E-01 a       351     0    15     1     1
 -1.1536330492877547E-01 a       352     0    15     1     2
  2.5536763608956631E-01 a       353     0    15     1     3
 -1.3602184561714645E-01 a       354     0    15     1     4
  1.9871696364726954E-01 a       355     0    15     1     5
 -1.1221655990409145E-01 a       356     0    15     1     6
 -2.9792918650619312E-03 a       357     0    15     1     7
 -5.7019951983226735E-02 a       358     0    15     1     8
  5.2631031923506967E-02 a       359     0    15     1     9
  5.1456558553399187E-02 a       360     0    15     1    10
 -4.0505338474404143E-02 a       361     0    15     1    11
  9.5401870516383561E-02 a       362     0    15     1    12
 -1.1717216753005300E-01 a       363     0    15     1    13
  3.8362943395376249E-02 a       364     0    15     1    14
  9.1028070637879849E-02 a       365     0    15     1    15
 -2.5168213650541904E-01 a       366     0    15     1    16
  3.3102779116362301E-02 a       367     0    15     1    17
  1.8616160432097806E-01 a       368     0    15     1    18
 -7.0522559547452568E-02 a       369     0    15     1    19
 -8.8784718749859104E-02 a       370     0    15     1    20
 -1.8578507843986000E-01 a       371     0    15     1    21
 -2.6041758280818927E-01 a       372     0    15     1    22
 -2.8453958051948058E-01 a       373     0    15     1    23
  9.2158404296726601E-02 a       374     0    15     1    24
  3.0512374744980375E-01 a       375     0    15     1    25
  2.2005519774769489E-01 a       376     0    16     1     1
  6.9900466658407281E-02 a       377     0    16     1     2
 -9.7460566124716971E-02 a       378     0    16     1     3
  1.1466211922597999E-01 a       379     0    16     1     4
 -6.0454161032913456E-02 a       380     0    16     1     5
  2.3994829692438116E-01 a       381     0    16     1     6
  1.7247553766745091E-01 a       382     0    16     1     7
 -8.7015812322280464E-02 a       383     0    16     1     8
 -1.6922221098896234E-01 a       384     0    16     1     9
 -4.5755665479612143E-02 a       385     0    16     1    10
  3.9248530455699794E-02 a       386     0    16     1    11
  4.5071276914843666E-02 a       387     0    16     1    12
  2.6547052544570693E-01 a       388     0    16     1    13
 -1.7786396990152945E-01 a       389     0    16     1    14
 -7.6489323388933481E-02 a       390     0    16     1    15
  3.1191509648784369E-02 a       391     0    16     1    16
 -4.6852154343179922E-02 a       392     0    16     1    17
  2.8931459899299454E-02 a       393     0    16     1    18
 -6.4369097967639149E-02 a       394     0    16     1    19
 -6.4756726382606850E-02 a       395     0    16     1    20
  7.6073229128399325E-02 a       396     0    16     1    21
  9.7423788660195201E-02 a       397     0    16     1    22
  1.4051507331870114E-01 a       398     0    16     1    23
  2.4451708011922710E-01 a       399     0    16     1    24
 -1.1002331440178294E-01 a       400     0    16     1    25
 -1.3586082271898609E-01 a       401     0    17     1     1
 -8.5295568051732273E-02 a       402     0    17     1     2
 -4.6069085526294080E-02 a       403     0    17     1     3
 -1.2145789875684217E-01 a       404     0    17     1     4
 -2.0469507937546916E-01 a       405     0    17     1     5
  2.5995169458644947E-02 a       406     0    17     1     6
 -1.3073373348532683E-01 a       407     0    17     1     7
 -1.5045386318407716E-01 a       408     0    17     1     8
  2.4623164035754280E-01 a       409     0    17     1     9
  1.4331002492818445E-01 a       410     0    17     1    10
 -7.5121432960695090E-03 a       411     0    17     1    11
  4.7895136010612342E-02 a       412     0    17     1    12
  1.1396808694856309E-01 a       413     0    17     1    13
 -7.1193564208846830E-02 a       414     0    17     1    14
 -1.5363063350270395E-01 a       415     0    17     1    15
  1.5734624731604635E-01 a       416     0    17     1    16
  5.6907312093142065E-02 a       417     0    17     1    17
 -1.5083179532198460E-01 a       418     0    17     1    18
 -2.9609174832217744E-01 a       419     0    17     1    19
 -2.2497086191260204E-01 a       420     0    17     1    20
  2.4414811109481502E-01 a       421     0    17     1    21
  2.6196214340696733E-01 a       422     0    17     1    22
  9.3352332734010030E-02 a       423     0    17     1    23
 -1.1551421244271408E-01 a       424     0    17     1    24
 -6.4159455274355667E-02 a       425     0    17     1    25
  1.4153582241959192E-01 a       426     0    18     1     1
 -1.7368334301659228E-02 a       427     0    18     1     2
  9.7771748564058944E-02 a       428     0    18     1     3
  1.2126837033036100E-01 a       429     0    18     1     4
  1.0658841040540634E-01 a       430     0    18     1     5
  5.7772449156512168E-02 a       431     0    18     1     6
  1.3855063068872725E-01 a       432     0    18     1     7
 -1.2408371843769621E-01 a       433     0    18     1     8
 -7.4300373216317453E-02 a       434     0    18     1     9
  1.3719184899884168E-02 a       435     0    18     1    10
 -1.6652569636212947E-01 a       436     0    18     1    11
  1.6309064189786865E-01 a       437     0    18     1    12
 -1.8541481132476629E-02 a       438     0    18     1    13
  2.2534608173058476E-01 a       439     0    18     1    14
 -1.6304364793580942E-01 a       440     0    18     1    15
  4.3510417081260869E-02 a       441     0    18     1    16
  3.8999181286039679E-02 a       442     0    18     1    17
 -1.9530096322042817E-01 a       443     0    18     1    18
 -4.5684961657256573E-01 a       444     0    18     1    19
  5.3978785161407110E-03 a       445     0    18     1    20
  5.4767094846234779E-02 a       446     0    18     1    21
 -1.4062546394113690E-01 a       447     0    18     1    22
  9.3286187135423387E-02 a       448     0    18     1    23
  1.6920934219668365E-01 a       449     0    18     1    24
  8.8823840940518622E-02 a       450     0    18     1    25
  1.7840302003346087E-01 a       451     0    19     1     1
  6.2001408513145194E-02 a       452     0    19     1     2
  9.5570461091317380E-02 a       453     0    19     1     3
 -1.6501484880361511E-01 a       454     0    19     1     4
  5.0570803639843696E-02 a       455     0    19     1     5
 -3.4617930408812371E-02 a       456     0    19     1     6
 -5.2755586120150161E-02 a       457     0    19     1     7
 -1.0734973732615999E-01 a       458     0    19     1     8
 -9.8465891139376455E-02 a       459     0    19     1     9
 -1.6738093860927847E-01 a       460     0    19     1    10
 -2.9142674081127984E-01 a       461     0    19     1    11
  1.9749765228870525E-01 a       462     0    19     1    12
  1.3624382571110158E-01 a       463     0    19     1    13
 -7.8112932620398298E-02 a       464     0    19     1    14
  2.1063447846508235E-01 a       465     0    19     1    15
  6.5364393224979125E-02 a       466     0    19     1    16
  2.4206027191412791E-01 a       467     0    19     1    17
  1.9256801497020705E-03 a       468     0    19     1    18
  4.1696174886373318E-02 a       469     0    19     1    19
