################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.5578095175276337E-02 a         1     0     1     1     1
 -2.9608589279692826E-01 a         2     0     1     1     2
  2.5345187155245363E-01 a         3     0     1     1     3
  1.0625255709410203E-01 a         4     0     1     1     4
 -1.5011694158421682E-01 a         5     0     1     1     5
 -2.8977435844687310E-01 a         6     0     1     1     6
 -1.8965374616580752E-01 a         7     0     1     1     7
 -1.8315578900434074E-01 a         8     0     1     1     8
 -2.4257200049743358E-01 a         9     0     1     1     9
 -1.7993979705385860E-01 a        10     0     1     1    10
  2.9221347291463134E-01 a        11     0     1     1    11
  1.1736967431289724E-02 a        12     0     1     1    12
 -3.9651151180830790E-01 a        13     0     1     1    13
 -2.4308245332822440E-01 a        14     0     1     1    14
 -1.9988736495390852E-01 a        15     0     1     1    15
  7.0123201000264451E-02 a        16     0     1     1    16
 -5.8805651133580453E-02 a        17     0     1     1    17
 -2.0198094815434214E-01 a        18     0     1     1    18
 -5.9617786762920181E-04 a        19     0     1     1    19
 -4.8580796418280078E-03 a        20     0     1     1    20
 -2.1293735971390521E-01 a        21     0     1     1    21
  1.8263393393838470E-01 a        22     0     1     1    22
 -1.6724849248950499E-02 a        23     0     1     1    23
  7.3434953496980773E-02 a        24     0     1     1    24
  1.6533321952379065E-01 a        25     0     1     1    25
  2.4759728924796878E-01 a        26     0     2     1     1
  1.1736393701642330E-03 a        27     0     2     1     2
  3.0650605603619974E-01 a        28     0     2     1     3
 -2.5123984420922274E-01 a        29     0     2     1     4
 -1.6640282402306883E-01 a        30     0     2     1     5
 -7.0778697349883429E-02 a        31     0     2     1     6
  1.0921349728675415E-01 a        32     0     2     1     7
  5.8119374152927582E-02 a        33     0     2     1     8
 -1.1310380987708679E-01 a        34     0     2     1     9
 -1.0284869201652293E-01 a        35     0     2     1    10
  1.7293814151459264E-01 a        36     0     2     1    11
  1.9809262903744497E-02 a        37     0     2     1    12
 -1.0221680456809336E-01 a        38     0     2     1    13
  9.8983327372725582E-03 a        39     0     2     1    14
 -1.0398318791658732E-01 a        40     0     2     1    15
  2.0973849760170513E-01 a        41     0     2     1    16
 -1.1171113723165758E-01 a        42     0     2     1    17
 -2.0243535584298208E-01 a        43     0     2     1    18
 -2.7737719015019052E-01 a        44     0     2     1    19
  1.8295423050134937E-01 a        45     0     2     1    20
 -1.2617326300198545E-01 a        46     0     2     1    21
  3.4858953571522598E-02 a        47     0     2     1    22
 -4.1495084687412809E-02 a        48     0     2     1    23
 -7.8820484871933522E-02 a        49     0     2     1    24
 -2.1999353117348238E-02 a        50     0     2     1    25
  5.2643961609510653E-02 a        51     0     3     1     1
 -1.4522099835663427E-01 a        52     0     3     1     2
  6.7821450855181722E-02 a        53     0     3     1     3
 -5.3999113163227905E-02 a        54     0     3     1     4
 -5.1436437211304767E-02 a        55     0     3     1     5
  2.0608238290021749E-01 a        56     0     3     1     6
  5.0255607375132355E-03 a        57     0     3     1     7
  1.7779873959162240E-01 a        58     0     3     1     8
 -6.7616352066058330E-02 a        59     0     3     1     9
 -2.0830147668728750E-02 a        60     0     3     1    10
  5.6086898192415892E-02 a        61     0     3     1    11
  1.4442580987530729E-01 a        62     0     3     1    12
 -4.6829436465847495E-03 a        63     0     3     1    13
 -2.0953930595484796E-01 a        64     0     3     1    14
  2.9296892211279763E-01 a        65     0     3     1    15
 -1.0241610587565939E-02 a        66     0     3     1    16
  3.1825771548174779E-02 a        67     0     3     1    17
 -2.3762042753947485E-01 a        68     0     3     1    18
  2.3771303387479483E-02 a        69     0     3     1    19
 -3.2431961147734134E-01 a        70     0     3     1    20
  3.4401532041202949E-02 a        71     0     3     1    21
  1.1000216303360083E-01 a        72     0     3     1    22
 -7.9190241971481737E-02 a        73     0     3     1    23
 -2.6930986476551726E-02 a        74     0     3     1    24
  7.4093929432812219E-02 a        75     0     3     1    25
 -2.2228620985234360E-02 a        76     0     4     1     1
 -9.3439809060967646E-02 a        77     0     4     1     2
 -3.0490572207272459E-01 a        78     0     4     1     3
 -4.8948595770336251E-02 a        79     0     4     1     4
 -1.5241184128241481E-01 a        80     0     4     1     5
 -1.0382417909335546E-01 a        81     0     4     1     6
 -1.1516598028012370E-01 a        82     0     4     1     7
  1.9136287533488858E-01 a        83     0     4     1     8
 -1.1440322463848905E-01 a        84     0     4     1     9
  1.5008166621026012E-01 a        85     0     4     1    10
 -2.9207820643517207E-01 a        86     0     4     1    11
 -2.6774737578892494E-01 a        87     0     4     1    12
 -3.8138767481439539E-01 a        88     0     4     1    13
 -1.3795200726484216E-01 a        89     0     4     1    14
  1.8862122637950472E-02 a        90     0     4     1    15
 -4.3108315365041915E-02 a        91     0     4     1    16
  1.8700024797010556E-01 a        92     0     4     1    17
 -1.4383601512548541E-01 a        93     0     4     1    18
 -1.6104212482215730E-01 a        94     0     4     1    19
 -2.7843164882257093E-01 a        95     0     4     1    20
  6.1410702194770336E-02 a        96     0     4     1    21
  1.3836386886686367E-01 a        97     0     4     1    22
  1.0839120505751726E-01 a        98     0     4     1    23
