################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.9389720127692442E-02 a         1     0     1     1     1
  6.3677300330847009E-02 a         2     0     1     1     2
  1.8675214403026889E-02 a         3     0     1     1     3
  7.0161710680148514E-03 a         4     0     1     1     4
 -6.8939338116191708E-03 a         5     0     1     1     5
  2.8190827114062910E-02 a         6     0     1     1     6
 -2.4709706751239999E-01 a         7     0     1     1     7
  6.8002054547918078E-02 a         8     0     1     1     8
  1.5692172880217233E-02 a         9     0     1     1     9
 -4.6339155102166379E-02 a        10     0     1     1    10
  1.6659263764769036E-03 a        11     0     1     1    11
 -9.7131941362779514E-02 a        12     0     1     1    12
 -3.7248229900874140E-02 a        13     0     1     1    13
 -5.0456154865421897E-02 a        14     0     1     1    14
 -2.3481914973304169E-01 a        15     0     1     1    15
  9.2393016815884174E-02 a        16     0     1     1    16
 -2.0284751177588861E-01 a        17     0     1     1    17
  6.1578219493152078E-02 a        18     0     1     1    18
  7.2272103955965311E-02 a        19     0     1     1    19
 -1.4521696231228748E-01 a        20     0     1     1    20
  1.0984927183806181E-01 a        21     0     1     1    21
  3.0578429688573539E-02 a        22     0     1     1    22
  2.7488424903208614E-01 a        23     0     1     1    23
  4.0653523890666232E-02 a        24     0     1     1    24
 -1.1349003650915940E-01 a        25     0     1     1    25
 -8.8783078275709429E-02 a        26     0     2     1     1
 -6.7029905681933761E-04 a        27     0     2     1     2
 -9.4970766801186393E-02 a        28     0     2     1     3
  9.7425810544023370E-02 a        29     0     2     1     4
 -5.0083269508520599E-03 a        30     0     2     1     5
 -1.9275830691462320E-01 a        31     0     2     1     6
  6.5996610384784188E-02 a        32     0     2     1     7
 -1.7543766950123477E-01 a        33     0     2     1     8
  7.5220887821686719E-02 a        34     0     2     1     9
 -1.3757874378755841E-01 a        35     0     2     1    10
 -9.2598042892811205E-02 a        36     0     2     1    11
 -1.8133789781231088E-01 a        37     0     2     1    12
 -8.7141367751342527E-02 a        38     0     2     1    13
  1.4020390359826815E-02 a        39     0     2     1    14
  1.7536916463802157E-01 a        40     0     2     1    15
  1.9449732785921806E-03 a        41     0     2     1    16
 -4.2779558992895504E-02 a        42     0     2     1    17
