################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.6232180731453028E-03 a         1     0     1     1     1
 -2.2968056101956527E-02 a         2     0     1     1     2
  1.8407910570591476E-01 a         3     0     1     1     3
 -1.4848628860400798E-01 a         4     0     1     1     4
 -6.2365182625169963E-02 a         5     0     1     1     5
  5.7165764931027270E-02 a         6     0     1     1     6
  8.9124754022594233E-03 a         7     0     1     1     7
  2.1672914550115374E-01 a         8     0     1     1     8
 -1.4234339438244417E-01 a         9     0     1     1     9
 -1.9511029490035298E-01 a        10     0     1     1    10
 -1.5138896410970712E-01 a        11     0     1     1    11
  7.2707285618939230E-02 a        12     0     1     1    12
 -1.4135155820406416E-02 a        13     0     1     1    13
  1.0938751649806738E-01 a        14     0     1     1    14
 -2.6629015923344764E-02 a        15     0     1     1    15
  1.1774576069846884E-01 a        16     0     1     1    16
 -3.5313632707771714E-02 a        17     0     1     1    17
 -5.1401867334736784E-02 a        18     0     1     1    18
  2.2612840902760681E-01 a        19     0     1     1    19
 -2.0319768538686694E-03 a        20     0     1     1    20
  2.3925285783264927E-03 a        21     0     1     1    21
  2.0426676830752394E-01 a        22     0     1     1    22
  5.4292493532415005E-02 a        23     0     1     1    23
 -1.3633735886988790E-01 a        24     0     1     1    24
 -1.1008103579563044E-01 a        25     0     1     1    25
 -1.1989583005135918E-01 a        26     0     2     1     1
 -5.0494199748313644E-02 a        27     0     2     1     2
  9.8402244046174134E-02 a        28     0     2     1     3
 -7.1047047817516862E-02 a        29     0     2     1     4
 -1.4355772441104084E-01 a        30     0     2     1     5
 -1.6436473805365501E-01 a        31     0     2     1     6
 -2.1419644648876801E-01 a        32     0     2     1     7
 -2.3785478873504379E-01 a        33     0     2     1     8
  1.2446546268329930E-01 a        34     0     2     1     9
 -2.8939990154337016E-03 a        35     0     2     1    10
 -3.3991788699301216E-02 a        36     0     2     1    11
  1.3230068683473656E-01 a        37     0     2     1    12
 -1.9310344105670524E-01 a        38     0     2     1    13
 -2.2693403549634750E-01 a        39     0     2     1    14
  5.0043707380924271E-02 a        40     0     2     1    15
 -1.1125210064792974E-01 a        41     0     2     1    16
 -1.6287335687407017E-02 a        42     0     2     1    17
  4.0615535492898300E-02 a        43     0     2     1    18
  2.0425486632619777E-01 a        44     0     2     1    19
  1.6436078646679859E-02 a        45     0     2     1    20
  1.0721674475638494E-01 a        46     0     2     1    21
  7.9033913884858323E-02 a        47     0     2     1    22
 -9.7431422326507214E-02 a        48     0     2     1    23
  1.6125333752802232E-02 a        49     0     2     1    24
 -1.7255079382547719E-02 a        50     0     2     1    25
 -5.4134159274126410E-02 a        51     0     3     1     1
 -8.5274282034405569E-02 a        52     0     3     1     2
 -1.0027807507810640E-01 a        53     0     3     1     3
  1.4123301998697149E-01 a        54     0     3     1     4
 -2.1637040837489654E-01 a        55     0     3     1     5
 -4.3516662641371148E-02 a        56     0     3     1     6
  1.4002704082939391E-01 a        57     0     3     1     7
 -6.1199346545642790E-02 a        58     0     3     1     8
 -3.8516912911582116E-02 a        59     0     3     1     9
  5.4921309686592777E-02 a        60     0     3     1    10
  5.7042404254772881E-02 a        61     0     3     1    11
 -1.8014774078674220E-01 a        62     0     3     1    12
  1.0536116952859777E-01 a        63     0     3     1    13
 -1.9755398807035085E-01 a        64     0     3     1    14
  5.9058329798406035E-02 a        65     0     3     1    15
 -3.3326166502653065E-01 a        66     0     3     1    16
  9.6167634331359178E-02 a        67     0     3     1    17
 -2.3118324136147861E-01 a        68     0     3     1    18
  2.5345976234363110E-01 a        69     0     3     1    19
  8.2690010446192341E-02 a        70     0     3     1    20
  2.6910402865635650E-02 a        71     0     3     1    21
 -2.3513377394391088E-01 a        72     0     3     1    22
  2.2905135916628669E-02 a        73     0     3     1    23
 -1.4609281422683087E-01 a        74     0     3     1    24
 -1.3455819959841703E-01 a        75     0     3     1    25
  1.6594118767182503E-01 a        76     0     4     1     1
  1.3057015788783752E-01 a        77     0     4     1     2
  1.2249909552629153E-01 a        78     0     4     1     3
 -4.8600308468348723E-02 a        79     0     4     1     4
 -7.5952695725622438E-02 a        80     0     4     1     5
 -8.3423448362737879E-02 a        81     0     4     1     6
 -2.5495657443041714E-01 a        82     0     4     1     7
  1.0240267969380672E-01 a        83     0     4     1     8
  2.2465091717831270E-01 a        84     0     4     1     9
 -1.4253647212672424E-01 a        85     0     4     1    10
 -8.7196947687783063E-02 a        86     0     4     1    11
  3.1959082745196691E-03 a        87     0     4     1    12
  1.2264705203043413E-01 a        88     0     4     1    13
 -8.0888917679999561E-02 a        89     0     4     1    14
 -4.4320644132890150E-02 a        90     0     4     1    15
  2.5799751653825148E-01 a        91     0     4     1    16
  3.4285465050428128E-02 a        92     0     4     1    17
  5.5966116304117970E-02 a        93     0     4     1    18
  3.7256311514058599E-01 a        94     0     4     1    19
 -1.7859138477978804E-03 a        95     0     4     1    20
 -8.4771971526217210E-02 a        96     0     4     1    21
 -3.0968234143544737E-01 a        97     0     4     1    22
  2.0965327710846199E-01 a        98     0     4     1    23
  1.5936020189447808E-01 a        99     0     4     1    24
 -9.6366702097969562E-02 a       100     0     4     1    25
  6.6984063219238535E-03 a       101     0     5     1     1
  4.8561218848942898E-02 a       102     0     5     1     2
 -5.6170180722720182E-02 a       103     0     5     1     3
 -1.8701621970534427E-01 a       104     0     5     1     4
 -1.2127786616215636E-01 a       105     0     5     1     5
 -2.1253152474848713E-01 a       106     0     5     1     6
  2.0631971900495150E-01 a       107     0     5     1     7
  1.0870407722344926E-02 a       108     0     5     1     8
 -2.1501375555065111E-01 a       109     0     5     1     9
 -1.0211985974546459E-01 a       110     0     5     1    10
  2.8462188735604178E-02 a       111     0     5     1    11
  3.9685386120129451E-02 a       112     0     5     1    12
  1.9013863556082289E-01 a       113     0     5     1    13
 -1.5573069603499093E-01 a       114     0     5     1    14
  2.8554652029237565E-01 a       115     0     5     1    15
 -1.4056377488275551E-01 a       116     0     5     1    16
  2.1827525728263679E-02 a       117     0     5     1    17
 -1.4892736158435990E-01 a       118     0     5     1    18
 -2.3169751255926577E-01 a       119     0     5     1    19
 -1.1164072248523668E-01 a       120     0     5     1    20
  1.0026827977479395E-01 a       121     0     5     1    21
  6.4384389895812064E-03 a       122     0     5     1    22
  1.6653810204371122E-01 a       123     0     5     1    23
  1.6877425649705541E-01 a       124     0     5     1    24
  1.6638015807312740E-02 a       125     0     5     1    25
  1.4898281968501675E-01 a       126     0     6     1     1
  1.6538082154870853E-01 a       127     0     6     1     2
  2.9289455802277992E-01 a       128     0     6     1     3
  3.4997052142069929E-01 a       129     0     6     1     4
 -3.1082814571957544E-02 a       130     0     6     1     5
  3.1781779587226477E-01 a       131     0     6     1     6
  1.8252543031943250E-01 a       132     0     6     1     7
  7.6278857247421256E-02 a       133     0     6     1     8
  4.6596994789928521E-02 a       134     0     6     1     9
  1.1716050699962570E-01 a       135     0     6     1    10
 -1.7838053046676447E-01 a       136     0     6     1    11
  5.1495599253754215E-02 a       137     0     6     1    12
  9.0279231956100423E-02 a       138     0     6     1    13
  2.5087734316010829E-01 a       139     0     6     1    14
  2.0282821907175769E-01 a       140     0     6     1    15
 -1.8903479141907853E-01 a       141     0     6     1    16
 -2.5643479986953443E-02 a       142     0     6     1    17
  1.1469231588654530E-02 a       143     0     6     1    18
  1.4557519758286080E-01 a       144     0     6     1    19
  1.2534790437097368E-01 a       145     0     6     1    20
 -2.0967691337085215E-01 a       146     0     6     1    21
 -3.1097575741079464E-01 a       147     0     6     1    22
  1.6727247260364136E-01 a       148     0     6     1    23
 -1.0851171479843881E-01 a       149     0     6     1    24
  5.5970812783884413E-04 a       150     0     6     1    25
 -8.0629431593161160E-02 a       151     0     7     1     1
