################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.2418016957212730E-01 a         1     0     1     1     1
  2.8350161464042656E-01 a         2     0     1     1     2
 -5.0194839476276154E-01 a         3     0     1     1     3
 -3.2370072702533015E-01 a         4     0     1     1     4
  3.6690568101128618E-01 a         5     0     1     1     5
 -6.7151490711775993E-02 a         6     0     1     1     6
  1.0212844089973548E-02 a         7     0     1     1     7
  3.4090390770196860E-01 a         8     0     1     1     8
  5.1241966551484130E-01 a         9     0     1     1     9
 -1.1669713661391117E+00 a        10     0     1     1    10
 -1.1853131117751196E-01 a        11     0     1     1    11
  2.7713040163222874E-01 a        12     0     1     1    12
  3.0743972906098932E-01 a        13     0     1     1    13
 -9.6680273915087531E-02 a        14     0     1     1    14
 -8.8865809695446010E-02 a        15     0     1     1    15
 -1.1620211781422958E-01 a        16     0     1     1    16
  1.8663012206916511E-02 a        17     0     1     1    17
  1.1742703160838945E-01 a        18     0     1     1    18
 -3.0149792678745962E-01 a        19     0     1     1    19
 -1.2210399013194499E-01 a        20     0     1     1    20
  4.8045095301203189E-01 a        21     0     1     1    21
 -5.7098473667050375E-03 a        22     0     1     1    22
 -2.3389032074264685E-02 a        23     0     1     1    23
  1.5587150057137631E-02 a        24     0     1     1    24
 -2.1561811677532489E-01 a        25     0     1     1    25
  1.1791344792506504E-01 a        26     0     2     1     1
  5.8449340881781379E-03 a        27     0     2     1     2
  4.7344436134600917E-02 a        28     0     2     1     3
 -6.4061800166165125E-02 a        29     0     2     1     4
  2.0250794122963997E-01 a        30     0     2     1     5
 -9.9409745152288592E-02 a        31     0     2     1     6
 -5.2392340615990147E-03 a        32     0     2     1     7
  6.8590917715731073E-02 a        33     0     2     1     8
 -4.5292258450587300E-03 a        34     0     2     1     9
  1.5266748515685474E-01 a        35     0     2     1    10
  1.5927575264089798E-02 a        36     0     2     1    11
  6.3549558899546471E-02 a        37     0     2     1    12
  1.2720824254689722E-01 a        38     0     2     1    13
 -3.3089991018992473E-03 a        39     0     2     1    14
  6.8640720624444054E-02 a        40     0     2     1    15
  4.9016299215846951E-02 a        41     0     2     1    16
 -1.3271412870795696E-01 a        42     0     2     1    17
  6.3711905715185049E-02 a        43     0     2     1    18
 -2.0254908438859687E-02 a        44     0     2     1    19
  3.4268579928595035E-02 a        45     0     2     1    20
  5.7291740255389557E-02 a        46     0     2     1    21
 -8.0050834725098025E-02 a        47     0     2     1    22
 -1.2307669604276728E-01 a        48     0     2     1    23
 -1.3326847396494573E-01 a        49     0     2     1    24
  1.8801798250857335E-01 a        50     0     2     1    25
  1.0775092677291608E-01 a        51     0     3     1     1
 -1.3626409921799107E-01 a        52     0     3     1     2
  1.5769683958621755E-01 a        53     0     3     1     3
 -4.2974903316150621E-02 a        54     0     3     1     4
 -1.7163889499614199E-02 a        55     0     3     1     5
  1.9423735929657976E-01 a        56     0     3     1     6
 -1.5915992584138577E-01 a        57     0     3     1     7
 -1.0042494493091957E-01 a        58     0     3     1     8
 -1.8121706079973743E-01 a        59     0     3     1     9
  5.1002730975148215E-02 a        60     0     3     1    10
  6.6753988910239176E-02 a        61     0     3     1    11
 -6.5559850386758461E-02 a        62     0     3     1    12
 -8.5727232758527838E-02 a        63     0     3     1    13
 -1.9677589076313881E-01 a        64     0     3     1    14
 -2.4887415876363606E-02 a        65     0     3     1    15
 -1.7561916732712213E-01 a        66     0     3     1    16
  1.2391960187215188E-01 a        67     0     3     1    17
  5.0346453880566883E-02 a        68     0     3     1    18
 -4.4445431433506162E-02 a        69     0     3     1    19
 -1.0874551063303255E-02 a        70     0     3     1    20
  1.3614865352487279E-02 a        71     0     3     1    21
  1.7838248961336636E-01 a        72     0     3     1    22
 -1.5236446745191615E-01 a        73     0     3     1    23
  7.5534231161316703E-02 a        74     0     3     1    24
 -9.2241014218974404E-02 a        75     0     3     1    25
 -4.1349677479752163E-02 a        76     0     4     1     1
