################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4214040503368547E-01 a         1     0     1     1     1
  8.3623253179669496E-02 a         2     0     1     1     2
  1.7050775934109827E-01 a         3     0     1     1     3
 -2.8728221355715838E-01 a         4     0     1     1     4
 -2.2175519393552373E-01 a         5     0     1     1     5
 -4.8836016094399892E-01 a         6     0     1     1     6
 -1.6516031802295769E-01 a         7     0     1     1     7
  4.0063759950343003E-02 a         8     0     1     1     8
 -3.0858643020674894E-02 a         9     0     1     1     9
 -3.5724157434479359E-01 a        10     0     1     1    10
  2.3435343705389511E-01 a        11     0     1     1    11
 -3.3380550324817987E-02 a        12     0     1     1    12
  4.3690051012874938E-02 a        13     0     1     1    13
  5.9195651877546454E-02 a        14     0     1     1    14
  1.9086746690822345E-01 a        15     0     1     1    15
  7.0860273181879596E-02 a        16     0     1     1    16
  1.4850268148138759E-01 a        17     0     1     1    17
  7.2833110710795956E-02 a        18     0     1     1    18
 -3.3234394409881907E-01 a        19     0     1     1    19
  1.2260557498805998E-02 a        20     0     1     1    20
  2.2865247369250857E-01 a        21     0     1     1    21
  8.0893613697270109E-03 a        22     0     1     1    22
 -5.7188786190525129E-02 a        23     0     1     1    23
  1.2636872968466720E-02 a        24     0     1     1    24
  5.2714104706049321E-02 a        25     0     1     1    25
 -7.3528448980120578E-03 a        26     0     2     1     1
  5.2025155044730265E-02 a        27     0     2     1     2
 -7.5984371042815246E-02 a        28     0     2     1     3
 -2.9886619566604419E-02 a        29     0     2     1     4
 -1.2388834385511411E-02 a        30     0     2     1     5
 -2.5814753339337148E-02 a        31     0     2     1     6
  6.6425548793352537E-02 a        32     0     2     1     7
  2.9375952918327768E-02 a        33     0     2     1     8
 -1.8687447898816090E-01 a        34     0     2     1     9
  9.3839023361663929E-02 a        35     0     2     1    10
  8.1412876150102884E-02 a        36     0     2     1    11
 -8.1741505283341315E-02 a        37     0     2     1    12
 -4.4081525620914927E-02 a        38     0     2     1    13
 -2.6953632929107473E-02 a        39     0     2     1    14
  9.2548914119507802E-02 a        40     0     2     1    15
  4.7386110018705192E-02 a        41     0     2     1    16
 -1.1554574557585505E-01 a        42     0     2     1    17
 -1.8564811919758794E-02 a        43     0     2     1    18
  1.2434596370890666E-01 a        44     0     2     1    19
 -3.4709362131839228E-02 a        45     0     2     1    20
  1.2590785176963402E-02 a        46     0     2     1    21
  6.6100010668478842E-02 a        47     0     2     1    22
  2.0024437081104274E-01 a        48     0     2     1    23
  4.5628472550194830E-02 a        49     0     2     1    24
  6.1363458949775422E-03 a        50     0     2     1    25
  5.6471364797402696E-02 a        51     0     3     1     1
  7.1498288948920088E-02 a        52     0     3     1     2
  1.9499909577481828E-01 a        53     0     3     1     3
  1.2746463400958460E-01 a        54     0     3     1     4
  1.9939415660259550E-02 a        55     0     3     1     5
 -1.3651098624467350E-01 a        56     0     3     1     6
 -1.3190174541354246E-01 a        57     0     3     1     7
 -2.7203388538060602E-02 a        58     0     3     1     8
 -1.2757717263497551E-01 a        59     0     3     1     9
  4.0881995538327207E-02 a        60     0     3     1    10
 -1.3199088281759808E-01 a        61     0     3     1    11
  4.7994829718941701E-02 a        62     0     3     1    12
