################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8925482222149473E-01 a         1     0     1     1     1
 -2.5099843153521827E-02 a         2     0     1     1     2
  4.0045917470714509E-02 a         3     0     1     1     3
 -5.3475077159516167E-02 a         4     0     1     1     4
  2.7752512739098165E-02 a         5     0     1     1     5
  1.1986996182473449E-01 a         6     0     1     1     6
  1.1429200802150950E-01 a         7     0     1     1     7
  4.0166675177747926E-02 a         8     0     1     1     8
  1.0280536713732466E-01 a         9     0     1     1     9
  4.4538922425242031E-02 a        10     0     1     1    10
  6.9093773950777981E-02 a        11     0     1     1    11
 -2.2953545592863847E-01 a        12     0     1     1    12
 -1.5697039358358761E-01 a        13     0     1     1    13
 -1.9257770935507443E-01 a        14     0     1     1    14
 -1.2650363612695187E-01 a        15     0     1     1    15
  3.0521121783582621E-02 a        16     0     1     1    16
 -1.4490795237932536E-01 a        17     0     1     1    17
 -1.4420829254436368E-01 a        18     0     1     1    18
  2.0565022118464832E-01 a        19     0     1     1    19
 -9.7689428699720804E-02 a        20     0     1     1    20
  1.6361952352996259E-01 a        21     0     1     1    21
  6.5903274368374898E-02 a        22     0     1     1    22
  2.4906287967110718E-01 a        23     0     1     1    23
  6.1311448658044408E-02 a        24     0     1     1    24
  1.3009978840055639E-01 a        25     0     1     1    25
  1.6141908673584937E-01 a        26     0     2     1     1
 -1.6228866691896957E-01 a        27     0     2     1     2
  7.3365467241873067E-02 a        28     0     2     1     3
 -1.1072283608416211E-01 a        29     0     2     1     4
 -8.6495833632610195E-02 a        30     0     2     1     5
  1.7067073160145133E-01 a        31     0     2     1     6
  4.8982010874607067E-02 a        32     0     2     1     7
 -2.3068787236062729E-01 a        33     0     2     1     8
 -9.6823682661724017E-02 a        34     0     2     1     9
  9.9868346685842949E-02 a        35     0     2     1    10
  3.4178297960159712E-02 a        36     0     2     1    11
  2.4561290772624628E-01 a        37     0     2     1    12
  6.4451576739095823E-02 a        38     0     2     1    13
  5.8886539398305272E-02 a        39     0     2     1    14
 -3.5825566409314571E-02 a        40     0     2     1    15
 -1.5762483719731039E-02 a        41     0     2     1    16
 -1.1435278847416110E-01 a        42     0     2     1    17
  1.7502515241427655E-01 a        43     0     2     1    18
 -1.6117188093918700E-02 a        44     0     2     1    19
 -6.5437329823227183E-02 a        45     0     2     1    20
  1.3350068934412851E-01 a        46     0     2     1    21
 -5.5261666325089581E-02 a        47     0     2     1    22
 -4.1734053574045152E-02 a        48     0     2     1    23
 -5.9285411255155337E-02 a        49     0     2     1    24
  1.5378740790626452E-01 a        50     0     2     1    25
 -1.6096266074199581E-01 a        51     0     3     1     1
 -2.7321620145850687E-02 a        52     0     3     1     2
