################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.8442156628869983E-02 a         1     0     1     1     1
  1.6995889982361742E-01 a         2     0     1     1     2
  1.3142359583814692E-01 a         3     0     1     1     3
 -1.9564090688964011E-01 a         4     0     1     1     4
  1.3982582768904492E-01 a         5     0     1     1     5
 -6.8479335645914977E-02 a         6     0     1     1     6
  4.0316265764802095E-01 a         7     0     1     1     7
 -1.8173739362651417E-02 a         8     0     1     1     8
  3.5324131872713743E-02 a         9     0     1     1     9
  1.7063741632702353E-01 a        10     0     1     1    10
  6.4481049456479075E-02 a        11     0     1     1    11
  9.4904219142595669E-02 a        12     0     1     1    12
 -2.1144882256030409E-01 a        13     0     1     1    13
 -7.4362557045265273E-02 a        14     0     1     1    14
  1.4947643169799915E-01 a        15     0     1     1    15
  5.0800843266854467E-01 a        16     0     1     1    16
  3.8021182024086558E-01 a        17     0     1     1    17
 -2.2836906157139462E-02 a        18     0     1     1    18
  4.7073684332337679E-01 a        19     0     1     1    19
  1.4206064000552254E-01 a        20     0     1     1    20
 -3.7012912076505519E-02 a        21     0     1     1    21
 -2.8022366478514582E-01 a        22     0     1     1    22
 -1.4370058791386933E-01 a        23     0     1     1    23
  3.6969612940236291E-01 a        24     0     1     1    24
  9.6844580413356793E-02 a        25     0     1     1    25
  1.4794229274907239E-01 a        26     0     2     1     1
 -3.2551710603493128E-02 a        27     0     2     1     2
  2.0734766149271916E-01 a        28     0     2     1     3
 -6.0024290118574821E-03 a        29     0     2     1     4
 -6.1999659456753113E-02 a        30     0     2     1     5
 -5.0775836223472107E-02 a        31     0     2     1     6
 -1.3010814416751881E-01 a        32     0     2     1     7
 -2.1336954830440805E-02 a        33     0     2     1     8
  3.7064403218925228E-02 a        34     0     2     1     9
 -4.8290875843929659E-02 a        35     0     2     1    10
  6.6053067988538453E-02 a        36     0     2     1    11
  7.6634340181074095E-02 a        37     0     2     1    12
 -1.5873826916046149E-01 a        38     0     2     1    13
  7.4160087949691700E-02 a        39     0     2     1    14
  1.4286430343697304E-01 a        40     0     2     1    15
  3.6921283107192115E-02 a        41     0     2     1    16
 -3.0706265301068847E-02 a        42     0     2     1    17
