################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.7475962266737559E-02 a         1     0     1     1     1
  1.6565550507634277E-01 a         2     0     1     1     2
 -2.2875385031483411E-01 a         3     0     1     1     3
  1.3043152727898349E-01 a         4     0     1     1     4
 -1.2662085754622385E-01 a         5     0     1     1     5
 -8.0380354297038936E-02 a         6     0     1     1     6
 -1.1878355784634363E-01 a         7     0     1     1     7
 -2.2541016830128557E-01 a         8     0     1     1     8
 -1.6536123333146668E-01 a         9     0     1     1     9
  8.3547008018863589E-01 a        10     0     1     1    10
  1.9639432435156789E-01 a        11     0     1     1    11
  2.2114853391984002E-01 a        12     0     1     1    12
  3.8302998101238139E-01 a        13     0     1     1    13
 -2.1871534455662853E-01 a        14     0     1     1    14
  8.3816705121496193E-02 a        15     0     1     1    15
 -2.2836316809858703E-01 a        16     0     1     1    16
 -1.2213361423637389E-01 a        17     0     1     1    17
  4.3436143678553196E-02 a        18     0     1     1    18
  5.0354474021021459E-02 a        19     0     1     1    19
  5.4674532588125956E-02 a        20     0     1     1    20
 -1.1274513666051016E-02 a        21     0     1     1    21
  5.6433116072292797E-03 a        22     0     1     1    22
  1.2121935987527264E-01 a        23     0     1     1    23
 -7.1248563770486079E-02 a        24     0     1     1    24
 -2.4883601503161756E-01 a        25     0     1     1    25
 -5.6266629504901189E-01 a        26     0     2     1     1
 -1.1979844864168346E-02 a        27     0     2     1     2
 -1.8708076113791344E-01 a        28     0     2     1     3
 -1.0593195114309544E-02 a        29     0     2     1     4
 -2.3097911295362952E-01 a        30     0     2     1     5
 -2.0449293615174421E-01 a        31     0     2     1     6
  3.0294794722682491E-03 a        32     0     2     1     7
 -1.1076164394741271E-01 a        33     0     2     1     8
  1.8982062983469197E-01 a        34     0     2     1     9
 -3.8539772769432662E-01 a        35     0     2     1    10
  1.3472178289031492E-01 a        36     0     2     1    11
 -5.7380110399853113E-01 a        37     0     2     1    12
 -3.7825085677715545E-02 a        38     0     2     1    13
 -1.1390757676614399E-01 a        39     0     2     1    14
  2.2432906043955961E-01 a        40     0     2     1    15
 -7.2440063097790011E-02 a        41     0     2     1    16
 -1.2625184733365956E-02 a        42     0     2     1    17
 -5.6219846504549531E-01 a        43     0     2     1    18
 -3.8542308740356063E-01 a        44     0     2     1    19
 -8.2387244331448534E-02 a        45     0     2     1    20
 -3.5992856843319693E-01 a        46     0     2     1    21
 -1.0257285760758117E-01 a        47     0     2     1    22
  1.2596619006132853E-01 a        48     0     2     1    23
 -1.7747826657802906E-03 a        49     0     2     1    24
 -3.0510959366316169E-02 a        50     0     2     1    25
  3.9045568248510529E-03 a        51     0     3     1     1
 -1.9720079049187292E-01 a        52     0     3     1     2
  5.0976860036913450E-02 a        53     0     3     1     3
  1.7830313326267669E-01 a        54     0     3     1     4
 -1.9239275627737271E-01 a        55     0     3     1     5
 -3.6279904587330013E-02 a        56     0     3     1     6
 -1.1939986916491969E-01 a        57     0     3     1     7
 -1.0206009722901381E-02 a        58     0     3     1     8
  3.5161547057780719E-02 a        59     0     3     1     9
 -6.9142394735435556E-02 a        60     0     3     1    10
 -7.3852917850154576E-02 a        61     0     3     1    11
 -5.7138563247068279E-02 a        62     0     3     1    12
  1.5702746171940826E-01 a        63     0     3     1    13
  5.9609549531049612E-02 a        64     0     3     1    14
  6.9137372734821026E-02 a        65     0     3     1    15
 -1.2120060928979236E-02 a        66     0     3     1    16
  1.9853474565820212E-01 a        67     0     3     1    17
  1.8198893301817140E-01 a        68     0     3     1    18
  6.1573562939499914E-02 a        69     0     3     1    19
 -4.2754953404864397E-02 a        70     0     3     1    20
 -7.2670001004351559E-02 a        71     0     3     1    21
 -1.0544122128261059E-01 a        72     0     3     1    22
