################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.0832461065994051E-03 a         1     0     1     1     1
 -2.0041720262531537E-01 a         2     0     1     1     2
  2.1117996265075739E-02 a         3     0     1     1     3
  1.4551113144149369E-01 a         4     0     1     1     4
  6.0782847106418625E-02 a         5     0     1     1     5
  1.9530870159476960E-01 a         6     0     1     1     6
  1.2736670131027511E-01 a         7     0     1     1     7
  2.2378309092509960E-01 a         8     0     1     1     8
 -1.2206135575278551E-01 a         9     0     1     1     9
  6.3317913396464573E-02 a        10     0     1     1    10
 -2.0245148166409610E-01 a        11     0     1     1    11
 -1.1438970818546516E-01 a        12     0     1     1    12
  1.3253627791838893E-01 a        13     0     1     1    13
  2.1973832237402086E-02 a        14     0     1     1    14
 -7.8601117397241585E-02 a        15     0     1     1    15
  1.4182466537063051E-01 a        16     0     1     1    16
  2.3190368045468593E-01 a        17     0     1     1    17
  1.3275726128063997E-01 a        18     0     1     1    18
  2.7599061789361921E-02 a        19     0     1     1    19
 -4.2603206831635397E-02 a        20     0     1     1    20
 -1.3504770192638885E-01 a        21     0     1     1    21
  3.9414676969423107E-02 a        22     0     1     1    22
 -1.0152182697939972E-01 a        23     0     1     1    23
  1.0323264861365003E-01 a        24     0     1     1    24
  1.2863006499927380E-02 a        25     0     1     1    25
  1.4899396280603044E-01 a        26     0     2     1     1
 -1.1115258806520388E-01 a        27     0     2     1     2
  3.9493777364851670E-02 a        28     0     2     1     3
 -6.0941946819946038E-02 a        29     0     2     1     4
  2.2342192022943880E-02 a        30     0     2     1     5
  1.3695554369281064E-02 a        31     0     2     1     6
  2.2357672618118718E-01 a        32     0     2     1     7
 -8.1718760329621346E-03 a        33     0     2     1     8
  5.5904553067913566E-02 a        34     0     2     1     9
  2.1328296825547935E-01 a        35     0     2     1    10
 -1.3142656370791433E-01 a        36     0     2     1    11
  9.9606591933158350E-02 a        37     0     2     1    12
  8.5989909169300799E-02 a        38     0     2     1    13
 -7.7046313536403774E-02 a        39     0     2     1    14
  5.0597122738444224E-02 a        40     0     2     1    15
 -4.5853364961784340E-02 a        41     0     2     1    16
 -3.3795137713705216E-02 a        42     0     2     1    17
 -1.4958695928199953E-01 a        43     0     2     1    18
  1.7515748257716877E-02 a        44     0     2     1    19
 -1.8180071620193267E-01 a        45     0     2     1    20
  7.4657600298287913E-02 a        46     0     2     1    21
  2.7940596796404155E-01 a        47     0     2     1    22
 -2.0096919848236761E-01 a        48     0     2     1    23
 -2.2922401104372422E-02 a        49     0     2     1    24
 -1.2008964353199847E-01 a        50     0     2     1    25
 -1.2833202054027118E-01 a        51     0     3     1     1
 -1.2341271424318596E-01 a        52     0     3     1     2
 -1.2350447294561946E-01 a        53     0     3     1     3
  1.0824349284234468E-01 a        54     0     3     1     4
 -1.0237559443902768E-01 a        55     0     3     1     5
  6.4555799872712802E-02 a        56     0     3     1     6
  1.8937816426601026E-01 a        57     0     3     1     7
  1.0676118874623709E-01 a        58     0     3     1     8
 -2.6652654911399137E-01 a        59     0     3     1     9
 -5.3913543173970890E-01 a        60     0     3     1    10
  1.9835918736150956E-01 a        61     0     3     1    11
  1.5826654692903791E-01 a        62     0     3     1    12
 -4.0240455928716570E-02 a        63     0     3     1    13
  1.8399043553140179E-01 a        64     0     3     1    14
 -1.4287896777757164E-01 a        65     0     3     1    15
 -1.4327790511437755E-01 a        66     0     3     1    16
  2.1108804583092752E-01 a        67     0     3     1    17
  2.8567232114918389E-01 a        68     0     3     1    18
 -1.3341948666432962E-01 a        69     0     3     1    19
  5.2402492235617507E-02 a        70     0     3     1    20
  2.8253096716464271E-01 a        71     0     3     1    21
 -4.9211825461899367E-02 a        72     0     3     1    22
 -3.8987969559794631E-03 a        73     0     3     1    23
 -9.0053296145234857E-02 a        74     0     3     1    24
 -4.7063632006315241E-02 a        75     0     3     1    25
 -1.3999512810265470E-02 a        76     0     4     1     1
 -1.3301247826469695E-01 a        77     0     4     1     2
  2.6787587923773309E-01 a        78     0     4     1     3
  1.2295846498398462E-01 a        79     0     4     1     4
  8.3827798230549658E-02 a        80     0     4     1     5
 -1.4814794367241946E-01 a        81     0     4     1     6
 -2.5461166115447892E-01 a        82     0     4     1     7
  2.4161752837286696E-01 a        83     0     4     1     8
 -6.7545915487579211E-02 a        84     0     4     1     9
 -1.0735535768529628E-01 a        85     0     4     1    10
 -1.1371759963017743E-01 a        86     0     4     1    11
  5.2812136851740507E-02 a        87     0     4     1    12
  4.6969215953127114E-02 a        88     0     4     1    13
  1.2930481529804547E-01 a        89     0     4     1    14
  1.3877549045870585E-01 a        90     0     4     1    15
 -6.4855455606742468E-02 a        91     0     4     1    16
  2.0861665829752371E-01 a        92     0     4     1    17
 -1.1946093873987514E-01 a        93     0     4     1    18
  2.6545542527570846E-02 a        94     0     4     1    19
 -1.0607551785632775E-01 a        95     0     4     1    20
  5.3347187376792948E-02 a        96     0     4     1    21
 -3.0371139618447113E-01 a        97     0     4     1    22
 -1.1139657637481154E-01 a        98     0     4     1    23
  1.2804033556115644E-02 a        99     0     4     1    24
 -3.0429778336441299E-01 a       100     0     4     1    25
 -1.0195526105074151E-02 a       101     0     5     1     1
  8.5568222846805389E-02 a       102     0     5     1     2
 -1.2821186160657669E-01 a       103     0     5     1     3
 -1.8114853547851517E-01 a       104     0     5     1     4
 -4.2450776037460961E-02 a       105     0     5     1     5
 -3.2322312743666130E-04 a       106     0     5     1     6
  8.6232710409943916E-02 a       107     0     5     1     7
 -1.1163629029928462E-01 a       108     0     5     1     8
  9.2246203881936786E-02 a       109     0     5     1     9
 -9.2968541643223782E-02 a       110     0     5     1    10
  1.9104773153392082E-01 a       111     0     5     1    11
  2.4885133230226580E-01 a       112     0     5     1    12
 -6.3804202229408150E-02 a       113     0     5     1    13
 -1.6824430897177344E-02 a       114     0     5     1    14
  7.4040829924944609E-02 a       115     0     5     1    15
 -1.0209098088480890E-01 a       116     0     5     1    16
  1.7227998052938545E-01 a       117     0     5     1    17
 -1.7614784948435172E-01 a       118     0     5     1    18
 -2.0752798198124901E-02 a       119     0     5     1    19
 -1.6862991580610817E-01 a       120     0     5     1    20
 -3.6905047910181371E-02 a       121     0     5     1    21
 -1.1412392346221419E-01 a       122     0     5     1    22
  2.1303387363166335E-01 a       123     0     5     1    23
  1.1247204413862963E-02 a       124     0     5     1    24
 -1.0076857024441442E-02 a       125     0     5     1    25
 -1.9716379449583749E-01 a       126     0     6     1     1
 -1.4320419418758340E-01 a       127     0     6     1     2
  3.4514783521563076E-03 a       128     0     6     1     3
  5.1030123649919703E-03 a       129     0     6     1     4
  2.3689122847537110E-02 a       130     0     6     1     5
  9.0041795354068435E-02 a       131     0     6     1     6
  1.3512520660907854E-01 a       132     0     6     1     7
  2.0259666095137596E-01 a       133     0     6     1     8
  1.1575618173195540E-01 a       134     0     6     1     9
 -4.4709118457548755E-02 a       135     0     6     1    10
  1.9408675663271960E-01 a       136     0     6     1    11
  8.2073336050482143E-02 a       137     0     6     1    12
  4.4516137861771443E-02 a       138     0     6     1    13
  1.2603431722121961E-01 a       139     0     6     1    14
 -2.0748838873566700E-01 a       140     0     6     1    15
  1.1439544281632791E-01 a       141     0     6     1    16
 -1.9812787239406951E-01 a       142     0     6     1    17
  3.9392948917950504E-02 a       143     0     6     1    18
 -6.9044797474407643E-02 a       144     0     6     1    19
  2.3408847270997546E-01 a       145     0     6     1    20
  1.7175892293648906E-01 a       146     0     6     1    21
 -1.6015093377130935E-01 a       147     0     6     1    22
 -1.1317324389923321E-01 a       148     0     6     1    23
 -1.9990114026694220E-01 a       149     0     6     1    24
  1.5812392062814062E-01 a       150     0     6     1    25
  8.7609796490641101E-03 a       151     0     7     1     1
  3.7724588782233896E-03 a       152     0     7     1     2
  9.6690972370592584E-02 a       153     0     7     1     3
 -1.2626862601311117E-01 a       154     0     7     1     4
  3.6309862579827039E-02 a       155     0     7     1     5
  1.0381069155256739E-01 a       156     0     7     1     6
 -2.4244968684726392E-01 a       157     0     7     1     7
  4.4898626830916145E-02 a       158     0     7     1     8
  1.8295426108939308E-01 a       159     0     7     1     9
 -7.0124540451632744E-02 a       160     0     7     1    10
 -1.0613135060106564E-01 a       161     0     7     1    11
 -5.4473110727622795E-03 a       162     0     7     1    12
  1.0817599119151620E-01 a       163     0     7     1    13
 -1.5621446651059459E-01 a       164     0     7     1    14
  2.0570410429678379E-01 a       165     0     7     1    15
  2.7317057541107953E-01 a       166     0     7     1    16
 -5.9541252825965382E-02 a       167     0     7     1    17
  9.1884117056343792E-02 a       168     0     7     1    18
  9.2201820844748844E-02 a       169     0     7     1    19
 -7.6344457851656319E-02 a       170     0     7     1    20
 -1.6681845010990504E-01 a       171     0     7     1    21
  2.4863998715654925E-01 a       172     0     7     1    22
 -5.6646984957979707E-02 a       173     0     7     1    23
  2.0525148413748309E-01 a       174     0     7     1    24
 -1.0873387969878617E-01 a       175     0     7     1    25
 -2.5227660526501472E-01 a       176     0     8     1     1
  2.4072263004405337E-01 a       177     0     8     1     2
 -2.5206789673005647E-01 a       178     0     8     1     3
  9.0714906831132397E-02 a       179     0     8     1     4
 -7.9270287037076281E-02 a       180     0     8     1     5
  1.0762312483987038E-01 a       181     0     8     1     6
 -1.2560427189977097E-01 a       182     0     8     1     7
  1.4947441823949265E-01 a       183     0     8     1     8
 -1.8092212351320627E-01 a       184     0     8     1     9
  1.3514982130946285E-01 a       185     0     8     1    10
 -2.4285708638791717E-01 a       186     0     8     1    11
 -1.1507660759281689E-01 a       187     0     8     1    12
  4.6532875567449054E-02 a       188     0     8     1    13
 -8.7744359307604089E-02 a       189     0     8     1    14
 -8.8352117339861036E-02 a       190     0     8     1    15
  6.7300457823250795E-02 a       191     0     8     1    16
 -1.5848760238529436E-01 a       192     0     8     1    17
  1.7095432184177387E-01 a       193     0     8     1    18
 -8.8135021402854910E-02 a       194     0     8     1    19
  1.2098351163555107E-01 a       195     0     8     1    20
 -1.5697993113818639E-02 a       196     0     8     1    21
 -1.8090178573315477E-01 a       197     0     8     1    22
  8.5680615722695627E-02 a       198     0     8     1    23
  1.4181594670419556E-01 a       199     0     8     1    24
 -1.6230111419139967E-01 a       200     0     8     1    25
  8.3158732009764348E-03 a       201     0     9     1     1
