################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5644889854435171E-01 a         1     0     1     1     1
 -1.5705846218307182E-01 a         2     0     1     1     2
 -4.4486880340506497E-02 a         3     0     1     1     3
 -1.5163315394626886E-01 a         4     0     1     1     4
  4.9103452708696357E-02 a         5     0     1     1     5
  9.9664471488026582E-02 a         6     0     1     1     6
  9.3766766192753953E-02 a         7     0     1     1     7
 -3.2798146750627651E-02 a         8     0     1     1     8
 -1.0128320318445319E-01 a         9     0     1     1     9
 -2.0992174116845860E-01 a        10     0     1     1    10
  2.5734940056582955E-02 a        11     0     1     1    11
  8.8942323589295616E-02 a        12     0     1     1    12
  7.1292572367325793E-02 a        13     0     1     1    13
  1.4245763113894475E-01 a        14     0     1     1    14
  2.0951096915132411E-01 a        15     0     1     1    15
  5.3962046285312051E-02 a        16     0     1     1    16
  1.7337602524469021E-02 a        17     0     1     1    17
  4.3541155303778778E-02 a        18     0     1     1    18
  2.4579465117578861E-01 a        19     0     1     1    19
  5.5568418674964370E-02 a        20     0     1     1    20
 -2.1185091755004845E-01 a        21     0     1     1    21
 -1.4952458614332650E-01 a        22     0     1     1    22
 -5.6175532183236468E-02 a        23     0     1     1    23
 -7.3835799928864470E-04 a        24     0     1     1    24
  8.2152807944742390E-02 a        25     0     1     1    25
  8.5229169058076620E-02 a        26     0     2     1     1
  2.9595399706352821E-02 a        27     0     2     1     2
 -5.2575134561948636E-02 a        28     0     2     1     3
  5.3731086946905288E-02 a        29     0     2     1     4
 -1.6429485608879341E-01 a        30     0     2     1     5
 -2.1407027269931742E-02 a        31     0     2     1     6
 -4.0430323485142666E-02 a        32     0     2     1     7
  8.7437624965754801E-02 a        33     0     2     1     8
  2.9917847955658095E-01 a        34     0     2     1     9
  6.4269080743681997E-02 a        35     0     2     1    10
 -2.5852237857279559E-01 a        36     0     2     1    11
  1.2229264070562998E-01 a        37     0     2     1    12
  3.6564100698142483E-02 a        38     0     2     1    13
 -1.2621230827120555E-01 a        39     0     2     1    14
 -4.4095832378446047E-02 a        40     0     2     1    15
  3.2149248725163934E-02 a        41     0     2     1    16
  8.8298004048890627E-02 a        42     0     2     1    17
 -1.4784245827228473E-01 a        43     0     2     1    18
  3.1184077582399099E-02 a        44     0     2     1    19
 -7.1701508013317344E-02 a        45     0     2     1    20
 -9.3803909217335842E-03 a        46     0     2     1    21
 -5.2758168219409839E-02 a        47     0     2     1    22
  2.3506324580425654E-02 a        48     0     2     1    23
  5.7271122097374338E-02 a        49     0     2     1    24
 -2.8337893992106888E-01 a        50     0     2     1    25
 -3.3794776063829676E-02 a        51     0     3     1     1
 -1.1489968903866611E-02 a        52     0     3     1     2
  1.0033129076485764E-01 a        53     0     3     1     3
 -2.4034984513701405E-01 a        54     0     3     1     4
 -1.7371294998136227E-01 a        55     0     3     1     5
 -7.4695002468636584E-02 a        56     0     3     1     6
 -8.1370990653340483E-02 a        57     0     3     1     7
 -5.3377530704106701E-03 a        58     0     3     1     8
 -1.3299493424113484E-01 a        59     0     3     1     9
